clone_id	mean_prevalence	lower_hdi	upper_hdi	median_prevalence
0	0.0022040406180705635	0.0013830836236633994	0.0028011567246797758	0.0023159610619695394
1	0.021317177992925505	0.01481852983819521	0.03883901674529319	0.015805582694106812
10	0.0006355031696008396	0.00031243993698859833	0.0010409228350771232	0.0005943249531688183
11	0.0014172903125292346	0.0009372626222399472	0.0020281191179312343	0.0013518897549728785
12	0.002976440127773204	0.000888601542748206	0.005099821782221936	0.0029586685930613364
13	0.0013171390278572585	0.00032027190539805217	0.0037700651754925332	0.0005891095152692243
14	0.012371954251095853	0.004847355316672367	0.01998655504827213	0.012326953319719457
15	0.009826224751870706	0.004863875423663688	0.018032888616805777	0.00820406748350668
16	0.03505181550373623	0.02558021776099233	0.04383140987044647	0.03539781719175307
17	0.035891828207034196	0.028795739448837107	0.04237618652978333	0.03619769342475816
2	0.002754041229442245	0.002191887630862429	0.0031978098946200723	0.0028132336961432403
3	0.004212902384232098	0.0003274302384001489	0.008117184465139704	0.004203497416694269
4	0.00022948481149524374	5.690100384302711e-06	0.00037011741019099884	0.0002710658677028367
5	0.00045396186538590574	7.106401269447539e-06	0.001317139488149439	0.00024580078606236826
6	0.008343090461012155	0.004182965829081069	0.015237919900322177	0.006975738057322687
7	0.0002757607071375657	7.529336759392521e-05	0.0004875411523943111	0.00027010415428101327
8	0.8371007998707753	0.8130179473436128	0.8566967982530095	0.8393442269432396
9	0.02362054470802579	0.018181632444957678	0.028429785109202518	0.023935380638971483
